Country,geonum,gender,age_collapsed,count,pweight,state
US,38,Male,25-34,63658,2.5080452530980643e-4,NY
US,38,Male,35-44,48050,1.893109654895881e-4,NY
US,38,Male,45-54,40822,1.6083355324070686e-4,NY
US,38,Male,55-64,48638,1.9162761164375828e-4,NY
US,38,Male,65+,53766,2.1183128762774595e-4,NY
US,39,Female,18-24,524305,0.0020656958535071484,OH
US,39,Female,25-34,761788,0.0030013490484574884,OH
US,39,Female,35-44,701654,0.002764428640575056,OH
US,39,Female,45-54,752436,0.002964503342957829,OH
US,39,Female,55-64,831942,0.003277746997946699,OH
US,39,Female,65+,1121286,0.004417726019770203,OH
US,39,Male,18-24,547666,0.002157735259642471,OH
US,39,Male,25-34,771316,0.003038888171853634,OH
US,39,Male,35-44,695109,0.002738642162549471,OH
US,39,Male,45-54,735765,0.00289882169663781,OH
US,39,Male,55-64,780862,0.003076498212989193,OH
US,39,Male,65+,874877,0.0034469055058196536,OH
US,40,Female,18-24,181764,7.161273325962433e-4,OK
US,40,Female,25-34,270901,0.0010673159180456795,OK
US,40,Female,35-44,243157,9.580080423632002e-4,OK
US,40,Female,45-54,229588,9.045478864687523e-4,OK
US,40,Female,55-64,255007,0.001004695554143671,OK
US,40,Female,65+,343864,0.001354780974757788,OK
US,40,Male,18-24,197382,7.776602911605801e-4,OK
US,40,Male,25-34,271835,0.0010709957607463513,OK
US,40,Male,35-44,248920,9.807135385987151e-4,OK
US,40,Male,45-54,229425,9.039056869396201e-4,OK
US,40,Male,55-64,239179,9.423352219528446e-4,OK
US,40,Male,65+,275737,0.0010863691507014058,OK
US,41,Female,18-24,178895,7.048238329086339e-4,OR
US,41,Female,25-34,290830,0.0011458336751995193,OR
US,41,Female,35-44,278376,0.0010967664792742888,OR
US,41,Female,45-54,256393,0.0010101562200785007,OR
US,41,Female,55-64,282738,0.001113952211458796,OR
US,41,Female,65+,398831,0.0015713440515541708,OR
US,41,Male,18-24,186850,7.36165533854933e-4,OR
US,41,Male,25-34,301825,0.0011891525943578548,OR
US,41,Male,35-44,278457,0.001097085609101649,OR
US,41,Male,45-54,263087,0.0010365297393914517,OR
